RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTPercentage,Best Macro-averaged F-Measure,500,45,2,,,,0.4534,0.0541,0.4658,0.7500,0.0440,0.0831,0.0803,0.0178,0.0290,
RDTLabelPowerset,Best Macro-averaged F-Measure,500,25,2,,,,0.4627,0.0505,0.5043,0.7051,0.1613,0.2625,0.6083,0.1638,0.2463,
RDTChainLabel,Best Macro-averaged F-Measure,500,45,2,0.05,,,0.3447,0.0631,0.4504,0.4303,0.4076,0.4187,0.3078,0.2328,0.2368,
RDTChainPercentage,Best Macro-averaged F-Measure,500,35,2,0.05,,,0.4503,0.0539,0.4630,0.8667,0.0381,0.0730,0.0912,0.0148,0.0253,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged F-Measure,500,30,2,0.4,0.0,,0.0155,0.1260,0.1267,0.1838,0.3666,0.2449,0.1518,0.1724,0.1149,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged F-Measure,500,25,2,0.4,0.25,,0.0248,0.1203,0.1415,0.1957,0.3724,0.2566,0.2286,0.1724,0.1128,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged F-Measure,500,25,2,0.4,0.5,,0.0248,0.1144,0.1510,0.2128,0.3900,0.2754,0.1723,0.1806,0.1192,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged F-Measure,500,20,2,0.4,0.75,,0.0280,0.0924,0.1509,0.2667,0.3754,0.3118,0.2171,0.1725,0.1401,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged F-Measure,500,25,2,0.4,1.0,,0.3168,0.0639,0.4067,0.4132,0.3490,0.3784,0.2331,0.1706,0.1696,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged F-Measure,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

